id,smiles
succinate,O=C([O-])CCC(=O)[O-]
fumarate,O=C([O-])C=CC(=O)[O-]
malate,O=C([O-])CC(O)C(=O)[O-]
oxaloacetate,O=C([O-])CC(=O)C(=O)[O-]
ketoglutarate,O=C([O-])CCC(=O)C(=O)[O-]
citrate,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
pyruvate,CC(=O)C(=O)[O-]
acetate,CC(=O)[O-]
alanine,CC(N)C(=O)O
arginine,NC(N)=NCCCC(N)C(=O)O
asparagine,NC(=O)CC(N)C(=O)O
aspartic_acid,NC(CC(=O)O)C(=O)O
cysteine,NC(CS)C(=O)O
glutamine,NC(=O)CCC(N)C(=O)O
glycine,NCC(=O)O
histidine,NC(Cc1cnc[nH]1)C(=O)O
isoleucine,CCC(C)C(N)C(=O)O
leucine,CC(C)CC(N)C(=O)O
methionine,CSCCC(N)C(=O)O
phenylalanine,NC(Cc1ccccc1)C(=O)O
serine,NC(CO)C(=O)O
threonine,CC(O)C(N)C(=O)O
tryptophan,NC(Cc1c[nH]c2ccccc12)C(=O)O
tyrosine,NC(Cc1ccc(O)cc1)C(=O)O
valine,CC(C)C(N)C(=O)O
proline,C1CC(NC1)C(=O)O
lysine,C(CCN)CC(C(=O)O)N
glutamic_acid,C(CC(=O)O)C(C(=O)O)N
acetoacetate,CC(=O)CC(=O)O
